spark_connected_component: job_1,,,,,,,,,,,,
toCache, A_all, L_all, S_all, +_all, A_cache, L_cache, S_cache, +_cache, A_reduce, L_reduce, S_reduce, +_reduce
[3 33 39],30,30,13,46,28,22,4,97,29,35,12,83
[3 33 39 47],30,30,13,46,26,20,2,95,31,37,14,85
[3 33 47],30,30,13,46,33,27,2,102,24,30,14,78
[3 39],30,30,13,46,38,38,12,113,19,19,4,67
[3 39 47],30,30,13,46,28,28,2,103,29,29,14,77
[3 47],30,30,13,46,35,35,2,110,22,22,14,70
[12],30,30,13,46,45,45,12,136,12,12,4,44
[12 16],30,30,13,46,42,42,11,125,15,15,5,55
[12 16 26],30,30,13,46,24,24,11,89,33,33,5,91
[12 16 26 30],30,30,13,46,20,20,9,83,37,37,7,97
[12 16 26 30 33],30,30,13,46,18,18,8,81,39,39,8,99
[12 16 26 30 33 39],30,30,13,46,16,16,8,79,41,41,8,101
[12 16 26 30 33 39 47],30,30,13,46,14,14,6,77,43,43,10,103
[12 16 26 30 33 47],30,30,13,46,16,16,6,79,41,41,10,101
[12 16 26 30 39],30,30,13,46,18,18,9,81,39,39,7,99
[12 16 26 30 39 47],30,30,13,46,15,15,6,78,42,42,10,102
[12 16 26 30 47],30,30,13,46,17,17,6,80,40,40,10,100
[12 16 26 33],30,30,13,46,19,18,8,83,38,39,8,97
[12 16 26 33 39],30,30,13,46,17,16,8,81,40,41,8,99
[12 16 26 33 39 47],30,30,13,46,15,14,6,79,42,43,10,101
[12 16 26 33 47],30,30,13,46,17,16,6,81,40,41,10,99
[12 16 26 39],30,30,13,46,22,22,11,87,35,35,5,93
[12 16 26 39 47],30,30,13,46,17,17,6,82,40,40,10,98
[12 16 26 47],30,30,13,46,19,19,6,84,38,38,10,96
[12 16 30],30,30,13,46,38,38,9,119,19,19,7,61
[12 16 30 33],30,30,13,46,36,36,8,117,21,21,8,63
[12 16 30 33 39],30,30,13,46,25,25,8,106,32,32,8,74
[12 16 30 33 39 47],30,30,13,46,23,23,6,104,34,34,10,76
[12 16 30 33 47],30,30,13,46,34,34,6,115,23,23,10,65
[12 16 30 39],30,30,13,46,27,27,9,108,30,30,7,72
[12 16 30 39 47],30,30,13,46,24,24,6,105,33,33,10,75
[12 16 30 47],30,30,13,46,35,35,6,116,22,22,10,64
[12 16 33],30,30,13,46,37,36,8,119,20,21,8,61
[12 16 33 39],30,30,13,46,26,25,8,108,31,32,8,72
[12 16 33 39 47],30,30,13,46,24,23,6,106,33,34,10,74
[12 16 33 47],30,30,13,46,35,34,6,117,22,23,10,63
[12 16 39],30,30,13,46,31,31,11,114,26,26,5,66
[12 16 39 47],30,30,13,46,26,26,6,109,31,31,10,71
[12 16 47],30,30,13,46,37,37,6,120,20,20,10,60
[12 26],30,30,13,46,27,27,12,100,30,30,4,80
[12 26 30],30,30,13,46,21,21,9,91,36,36,7,89
[12 26 30 33],30,30,13,46,19,19,8,89,38,38,8,91
[12 26 30 33 39],30,30,13,46,17,17,8,87,40,40,8,93
[12 26 30 33 39 47],30,30,13,46,15,15,6,85,42,42,10,95
[12 26 30 33 47],30,30,13,46,17,17,6,87,40,40,10,93
[12 26 30 39],30,30,13,46,19,19,9,89,38,38,7,91
[12 26 30 39 47],30,30,13,46,16,16,6,86,41,41,10,94
[12 26 30 47],30,30,13,46,18,18,6,88,39,39,10,92
