spark_connected_component: job_1,,,,,,,,,,,,
toCache, A_all, L_all, S_all, +_all, A_cache, L_cache, S_cache, +_cache, A_reduce, L_reduce, S_reduce, +_reduce
[3 16 26 30 33 47 50 67],30,30,13,46,35,34,4,445,91,92,18,1727
[3 16 26 30 33 47 56],30,30,13,46,35,35,8,442,91,91,14,1730
[3 16 26 30 33 47 56 64],30,30,13,46,29,29,5,433,97,97,17,1739
[3 16 26 30 33 47 56 64 67],30,30,13,46,27,27,4,431,99,99,18,1741
[3 16 26 30 33 47 56 67],30,30,13,46,29,27,4,434,97,99,18,1738
[3 16 26 30 33 47 64],30,30,13,46,37,37,5,449,89,89,17,1723
[3 16 26 30 33 47 64 67],30,30,13,46,35,35,4,447,91,91,18,1725
[3 16 26 30 33 47 67],30,30,13,46,37,35,4,450,89,91,18,1722
[3 16 26 30 33 50],30,30,13,46,41,40,7,457,85,86,15,1715
[3 16 26 30 33 50 56],30,30,13,46,33,32,7,441,93,94,15,1731
[3 16 26 30 33 50 56 64],30,30,13,46,29,28,5,435,97,98,17,1737
[3 16 26 30 33 50 56 64 67],30,30,13,46,27,26,4,433,99,100,18,1739
[3 16 26 30 33 50 56 67],30,30,13,46,28,26,4,435,98,100,18,1737
[3 16 26 30 33 50 64],30,30,13,46,37,36,5,451,89,90,17,1721
[3 16 26 30 33 50 64 67],30,30,13,46,35,34,4,449,91,92,18,1723
[3 16 26 30 33 50 67],30,30,13,46,36,34,4,451,90,92,18,1721
[3 16 26 30 33 56],30,30,13,46,41,41,10,462,85,85,12,1710
[3 16 26 30 33 56 64],30,30,13,46,31,31,5,447,95,95,17,1725
[3 16 26 30 33 56 64 67],30,30,13,46,29,29,4,445,97,97,18,1727
[3 16 26 30 33 56 67],30,30,13,46,33,29,4,450,93,97,18,1722
[3 16 26 30 33 64],30,30,13,46,39,39,5,463,87,87,17,1709
[3 16 26 30 33 64 67],30,30,13,46,37,37,4,461,89,89,18,1711
[3 16 26 30 33 67],30,30,13,46,41,37,4,466,85,89,18,1706
[3 16 26 30 39],30,30,13,46,47,47,11,474,79,79,11,1698
[3 16 26 30 39 47],30,30,13,46,38,38,8,444,88,88,14,1728
[3 16 26 30 39 47 50],30,30,13,46,35,35,7,437,91,91,15,1735
[3 16 26 30 39 47 50 56],30,30,13,46,31,31,7,429,95,95,15,1743
[3 16 26 30 39 47 50 56 64],30,30,13,46,27,27,5,423,99,99,17,1749
[3 16 26 30 39 47 50 56 64 67],30,30,13,46,25,25,4,421,101,101,18,1751
[3 16 26 30 39 47 50 56 67],30,30,13,46,26,25,4,423,100,101,18,1749
[3 16 26 30 39 47 50 64],30,30,13,46,31,31,5,431,95,95,17,1741
[3 16 26 30 39 47 50 64 67],30,30,13,46,29,29,4,429,97,97,18,1743
[3 16 26 30 39 47 50 67],30,30,13,46,30,29,4,431,96,97,18,1741
[3 16 26 30 39 47 56],30,30,13,46,34,34,8,436,92,92,14,1736
[3 16 26 30 39 47 56 64],30,30,13,46,28,28,5,427,98,98,17,1745
[3 16 26 30 39 47 56 64 67],30,30,13,46,26,26,4,425,100,100,18,1747
[3 16 26 30 39 47 56 67],30,30,13,46,28,26,4,428,98,100,18,1744
[3 16 26 30 39 47 64],30,30,13,46,32,32,5,435,94,94,17,1737
[3 16 26 30 39 47 64 67],30,30,13,46,30,30,4,433,96,96,18,1739
[3 16 26 30 39 47 67],30,30,13,46,32,30,4,436,94,96,18,1736
[3 16 26 30 39 50],30,30,13,46,37,35,7,446,89,91,15,1726
[3 16 26 30 39 50 56],30,30,13,46,33,31,7,438,93,95,15,1734
[3 16 26 30 39 50 56 64],30,30,13,46,29,27,5,432,97,99,17,1740
[3 16 26 30 39 50 56 64 67],30,30,13,46,27,25,4,430,99,101,18,1742
[3 16 26 30 39 50 56 67],30,30,13,46,28,25,4,432,98,101,18,1740
[3 16 26 30 39 50 64],30,30,13,46,33,31,5,440,93,95,17,1732
[3 16 26 30 39 50 64 67],30,30,13,46,31,29,4,438,95,97,18,1734
[3 16 26 30 39 50 67],30,30,13,46,32,29,4,440,94,97,18,1732
[3 16 26 30 39 56],30,30,13,46,43,43,11,466,83,83,11,1706
[3 16 26 30 39 56 64],30,30,13,46,31,31,5,448,95,95,17,1724
[3 16 26 30 39 56 64 67],30,30,13,46,29,29,4,446,97,97,18,1726
[3 16 26 30 39 56 67],30,30,13,46,34,29,4,452,92,97,18,1720
[3 16 26 30 39 64],30,30,13,46,35,35,5,456,91,91,17,1716
[3 16 26 30 39 64 67],30,30,13,46,33,33,4,454,93,93,18,1718
[3 16 26 30 39 67],30,30,13,46,38,33,4,460,88,93,18,1712
[3 16 26 30 47],30,30,13,46,44,44,8,472,82,82,14,1700
[3 16 26 30 47 50],30,30,13,46,41,41,7,465,85,85,15,1707
[3 16 26 30 47 50 56],30,30,13,46,33,33,7,449,93,93,15,1723
[3 16 26 30 47 50 56 64],30,30,13,46,29,29,5,443,97,97,17,1729
[3 16 26 30 47 50 56 64 67],30,30,13,46,27,27,4,441,99,99,18,1731
[3 16 26 30 47 50 56 67],30,30,13,46,28,27,4,443,98,99,18,1729
[3 16 26 30 47 50 64],30,30,13,46,37,37,5,459,89,89,17,1713
[3 16 26 30 47 50 64 67],30,30,13,46,35,35,4,457,91,91,18,1715
[3 16 26 30 47 50 67],30,30,13,46,36,35,4,459,90,91,18,1713
[3 16 26 30 47 56],30,30,13,46,36,36,8,456,90,90,14,1716
[3 16 26 30 47 56 64],30,30,13,46,30,30,5,447,96,96,17,1725
[3 16 26 30 47 56 64 67],30,30,13,46,28,28,4,445,98,98,18,1727
[3 16 26 30 47 56 67],30,30,13,46,30,28,4,448,96,98,18,1724
[3 16 26 30 47 64],30,30,13,46,38,38,5,463,88,88,17,1709
[3 16 26 30 47 64 67],30,30,13,46,36,36,4,461,90,90,18,1711
[3 16 26 30 47 67],30,30,13,46,38,36,4,464,88,90,18,1708
[3 16 26 30 50],30,30,13,46,43,41,7,474,83,85,15,1698
[3 16 26 30 50 56],30,30,13,46,35,33,7,458,91,93,15,1714
[3 16 26 30 50 56 64],30,30,13,46,31,29,5,452,95,97,17,1720
[3 16 26 30 50 56 64 67],30,30,13,46,29,27,4,450,97,99,18,1722
[3 16 26 30 50 56 67],30,30,13,46,30,27,4,452,96,99,18,1720
[3 16 26 30 50 64],30,30,13,46,39,37,5,468,87,89,17,1704
[3 16 26 30 50 64 67],30,30,13,46,37,35,4,466,89,91,18,1706
[3 16 26 30 50 67],30,30,13,46,38,35,4,468,88,91,18,1704
[3 16 26 30 56],30,30,13,46,45,45,11,486,81,81,11,1686
[3 16 26 30 56 64],30,30,13,46,33,33,5,468,93,93,17,1704
[3 16 26 30 56 64 67],30,30,13,46,31,31,4,466,95,95,18,1706
[3 16 26 30 56 67],30,30,13,46,36,31,4,472,90,95,18,1700
[3 16 26 30 64],30,30,13,46,41,41,5,484,85,85,17,1688
[3 16 26 30 64 67],30,30,13,46,39,39,4,482,87,87,18,1690
[3 16 26 30 67],30,30,13,46,44,39,4,488,82,87,18,1684
[3 16 26 33],30,30,13,46,50,49,10,498,76,77,12,1674
[3 16 26 33 39],30,30,13,46,44,43,10,470,82,83,12,1702
[3 16 26 33 39 47],30,30,13,46,38,37,8,450,88,89,14,1722
[3 16 26 33 39 47 50],30,30,13,46,35,34,7,443,91,92,15,1729
[3 16 26 33 39 47 50 56],30,30,13,46,31,30,7,435,95,96,15,1737
[3 16 26 33 39 47 50 56 64],30,30,13,46,27,26,5,429,99,100,17,1743
[3 16 26 33 39 47 50 56 64 67],30,30,13,46,25,24,4,427,101,102,18,1745
[3 16 26 33 39 47 50 56 67],30,30,13,46,26,24,4,429,100,102,18,1743
[3 16 26 33 39 47 50 64],30,30,13,46,31,30,5,437,95,96,17,1735
[3 16 26 33 39 47 50 64 67],30,30,13,46,29,28,4,435,97,98,18,1737
[3 16 26 33 39 47 50 67],30,30,13,46,30,28,4,437,96,98,18,1735
[3 16 26 33 39 47 56],30,30,13,46,34,33,8,442,92,93,14,1730
[3 16 26 33 39 47 56 64],30,30,13,46,28,27,5,433,98,99,17,1739
[3 16 26 33 39 47 56 64 67],30,30,13,46,26,25,4,431,100,101,18,1741
[3 16 26 33 39 47 56 67],30,30,13,46,28,25,4,434,98,101,18,1738
[3 16 26 33 39 47 64],30,30,13,46,32,31,5,441,94,95,17,1731
[3 16 26 33 39 47 64 67],30,30,13,46,30,29,4,439,96,97,18,1733
[3 16 26 33 39 47 67],30,30,13,46,32,29,4,442,94,97,18,1730
[3 16 26 33 39 50],30,30,13,46,36,34,7,449,90,92,15,1723
[3 16 26 33 39 50 56],30,30,13,46,32,30,7,441,94,96,15,1731
[3 16 26 33 39 50 56 64],30,30,13,46,28,26,5,435,98,100,17,1737
[3 16 26 33 39 50 56 64 67],30,30,13,46,26,24,4,433,100,102,18,1739
[3 16 26 33 39 50 56 67],30,30,13,46,27,24,4,435,99,102,18,1737
[3 16 26 33 39 50 64],30,30,13,46,32,30,5,443,94,96,17,1729
[3 16 26 33 39 50 64 67],30,30,13,46,30,28,4,441,96,98,18,1731
[3 16 26 33 39 50 67],30,30,13,46,31,28,4,443,95,98,18,1729
[3 16 26 33 39 56],30,30,13,46,40,39,10,462,86,87,12,1710
[3 16 26 33 39 56 64],30,30,13,46,30,29,5,447,96,97,17,1725
[3 16 26 33 39 56 64 67],30,30,13,46,28,27,4,445,98,99,18,1727
[3 16 26 33 39 56 67],30,30,13,46,32,27,4,450,94,99,18,1722
[3 16 26 33 39 64],30,30,13,46,34,33,5,455,92,93,17,1717
[3 16 26 33 39 64 67],30,30,13,46,32,31,4,453,94,95,18,1719
[3 16 26 33 39 67],30,30,13,46,36,31,4,458,90,95,18,1714
[3 16 26 33 47],30,30,13,46,44,43,8,478,82,83,14,1694
[3 16 26 33 47 50],30,30,13,46,41,40,7,471,85,86,15,1701
[3 16 26 33 47 50 56],30,30,13,46,33,32,7,455,93,94,15,1717
[3 16 26 33 47 50 56 64],30,30,13,46,29,28,5,449,97,98,17,1723
[3 16 26 33 47 50 56 64 67],30,30,13,46,27,26,4,447,99,100,18,1725
[3 16 26 33 47 50 56 67],30,30,13,46,28,26,4,449,98,100,18,1723
[3 16 26 33 47 50 64],30,30,13,46,37,36,5,465,89,90,17,1707
[3 16 26 33 47 50 64 67],30,30,13,46,35,34,4,463,91,92,18,1709
[3 16 26 33 47 50 67],30,30,13,46,36,34,4,465,90,92,18,1707
[3 16 26 33 47 56],30,30,13,46,36,35,8,462,90,91,14,1710
[3 16 26 33 47 56 64],30,30,13,46,30,29,5,453,96,97,17,1719
[3 16 26 33 47 56 64 67],30,30,13,46,28,27,4,451,98,99,18,1721
[3 16 26 33 47 56 67],30,30,13,46,30,27,4,454,96,99,18,1718
[3 16 26 33 47 64],30,30,13,46,38,37,5,469,88,89,17,1703
[3 16 26 33 47 64 67],30,30,13,46,36,35,4,467,90,91,18,1705
[3 16 26 33 47 67],30,30,13,46,38,35,4,470,88,91,18,1702
[3 16 26 33 50],30,30,13,46,42,40,7,477,84,86,15,1695
[3 16 26 33 50 56],30,30,13,46,34,32,7,461,92,94,15,1711
[3 16 26 33 50 56 64],30,30,13,46,30,28,5,455,96,98,17,1717
[3 16 26 33 50 56 64 67],30,30,13,46,28,26,4,453,98,100,18,1719
[3 16 26 33 50 56 67],30,30,13,46,29,26,4,455,97,100,18,1717
[3 16 26 33 50 64],30,30,13,46,38,36,5,471,88,90,17,1701
[3 16 26 33 50 64 67],30,30,13,46,36,34,4,469,90,92,18,1703
[3 16 26 33 50 67],30,30,13,46,37,34,4,471,89,92,18,1701
[3 16 26 33 56],30,30,13,46,42,41,10,482,84,85,12,1690
[3 16 26 33 56 64],30,30,13,46,32,31,5,467,94,95,17,1705
[3 16 26 33 56 64 67],30,30,13,46,30,29,4,465,96,97,18,1707
[3 16 26 33 56 67],30,30,13,46,34,29,4,470,92,97,18,1702
[3 16 26 33 64],30,30,13,46,40,39,5,483,86,87,17,1689
[3 16 26 33 64 67],30,30,13,46,38,37,4,481,88,89,18,1691
[3 16 26 33 67],30,30,13,46,42,37,4,486,84,89,18,1686
[3 16 26 39],30,30,13,46,55,55,13,542,71,71,9,1630
[3 16 26 39 47],30,30,13,46,40,40,8,492,86,86,14,1680
[3 16 26 39 47 50],30,30,13,46,37,37,7,485,89,89,15,1687
[3 16 26 39 47 50 56],30,30,13,46,33,33,7,477,93,93,15,1695
[3 16 26 39 47 50 56 64],30,30,13,46,29,29,5,471,97,97,17,1701
[3 16 26 39 47 50 56 64 67],30,30,13,46,27,27,4,469,99,99,18,1703
[3 16 26 39 47 50 56 67],30,30,13,46,28,27,4,471,98,99,18,1701
[3 16 26 39 47 50 64],30,30,13,46,33,33,5,479,93,93,17,1693
[3 16 26 39 47 50 64 67],30,30,13,46,31,31,4,477,95,95,18,1695
[3 16 26 39 47 50 67],30,30,13,46,32,31,4,479,94,95,18,1693
[3 16 26 39 47 56],30,30,13,46,36,36,8,484,90,90,14,1688
[3 16 26 39 47 56 64],30,30,13,46,30,30,5,475,96,96,17,1697
[3 16 26 39 47 56 64 67],30,30,13,46,28,28,4,473,98,98,18,1699
[3 16 26 39 47 56 67],30,30,13,46,30,28,4,476,96,98,18,1696
[3 16 26 39 47 64],30,30,13,46,34,34,5,483,92,92,17,1689
[3 16 26 39 47 64 67],30,30,13,46,32,32,4,481,94,94,18,1691
[3 16 26 39 47 67],30,30,13,46,34,32,4,484,92,94,18,1688
[3 16 26 39 50],30,30,13,46,41,37,7,500,85,89,15,1672
[3 16 26 39 50 56],30,30,13,46,37,33,7,492,89,93,15,1680
[3 16 26 39 50 56 64],30,30,13,46,33,29,5,486,93,97,17,1686
[3 16 26 39 50 56 64 67],30,30,13,46,31,27,4,484,95,99,18,1688
[3 16 26 39 50 56 67],30,30,13,46,32,27,4,486,94,99,18,1686
[3 16 26 39 50 64],30,30,13,46,37,33,5,494,89,93,17,1678
[3 16 26 39 50 64 67],30,30,13,46,35,31,4,492,91,95,18,1680
[3 16 26 39 50 67],30,30,13,46,36,31,4,494,90,95,18,1678
[3 16 26 39 56],30,30,13,46,51,51,13,534,75,75,9,1638
[3 16 26 39 56 64],30,30,13,46,35,35,5,510,91,91,17,1662
[3 16 26 39 56 64 67],30,30,13,46,33,33,4,508,93,93,18,1664
[3 16 26 39 56 67],30,30,13,46,40,33,4,516,86,93,18,1656
[3 16 26 39 64],30,30,13,46,39,39,5,518,87,87,17,1654
[3 16 26 39 64 67],30,30,13,46,37,37,4,516,89,89,18,1656
[3 16 26 39 67],30,30,13,46,44,37,4,524,82,89,18,1648
[3 16 26 47],30,30,13,46,46,46,8,520,80,80,14,1652
[3 16 26 47 50],30,30,13,46,43,43,7,513,83,83,15,1659
[3 16 26 47 50 56],30,30,13,46,35,35,7,497,91,91,15,1675
[3 16 26 47 50 56 64],30,30,13,46,31,31,5,491,95,95,17,1681
[3 16 26 47 50 56 64 67],30,30,13,46,29,29,4,489,97,97,18,1683
[3 16 26 47 50 56 67],30,30,13,46,30,29,4,491,96,97,18,1681
[3 16 26 47 50 64],30,30,13,46,39,39,5,507,87,87,17,1665
[3 16 26 47 50 64 67],30,30,13,46,37,37,4,505,89,89,18,1667
[3 16 26 47 50 67],30,30,13,46,38,37,4,507,88,89,18,1665
[3 16 26 47 56],30,30,13,46,38,38,8,504,88,88,14,1668
[3 16 26 47 56 64],30,30,13,46,32,32,5,495,94,94,17,1677
[3 16 26 47 56 64 67],30,30,13,46,30,30,4,493,96,96,18,1679
[3 16 26 47 56 67],30,30,13,46,32,30,4,496,94,96,18,1676
[3 16 26 47 64],30,30,13,46,40,40,5,511,86,86,17,1661
[3 16 26 47 64 67],30,30,13,46,38,38,4,509,88,88,18,1663
[3 16 26 47 67],30,30,13,46,40,38,4,512,86,88,18,1660
[3 16 26 50],30,30,13,46,47,43,7,528,79,83,15,1644
[3 16 26 50 56],30,30,13,46,39,35,7,512,87,91,15,1660
[3 16 26 50 56 64],30,30,13,46,35,31,5,506,91,95,17,1666
[3 16 26 50 56 64 67],30,30,13,46,33,29,4,504,93,97,18,1668
[3 16 26 50 56 67],30,30,13,46,34,29,4,506,92,97,18,1666
[3 16 26 50 64],30,30,13,46,43,39,5,522,83,87,17,1650
[3 16 26 50 64 67],30,30,13,46,41,37,4,520,85,89,18,1652
[3 16 26 50 67],30,30,13,46,42,37,4,522,84,89,18,1650
[3 16 26 56],30,30,13,46,53,53,13,554,73,73,9,1618
[3 16 26 56 64],30,30,13,46,37,37,5,530,89,89,17,1642
[3 16 26 56 64 67],30,30,13,46,35,35,4,528,91,91,18,1644
[3 16 26 56 67],30,30,13,46,42,35,4,536,84,91,18,1636
[3 16 26 64],30,30,13,46,45,45,5,546,81,81,17,1626
[3 16 26 64 67],30,30,13,46,43,43,4,544,83,83,18,1628
[3 16 26 67],30,30,13,46,50,43,4,552,76,83,18,1620
[3 16 30],30,30,13,46,73,73,11,742,53,53,11,1430
[3 16 30 33],30,30,13,46,69,69,10,718,57,57,12,1454
[3 16 30 33 39],30,30,13,46,48,48,10,620,78,78,12,1552
[3 16 30 33 39 47],30,30,13,46,42,42,8,600,84,84,14,1572
[3 16 30 33 39 47 50],30,30,13,46,39,39,7,593,87,87,15,1579
[3 16 30 33 39 47 50 56],30,30,13,46,35,35,7,585,91,91,15,1587
[3 16 30 33 39 47 50 56 64],30,30,13,46,31,31,5,579,95,95,17,1593
[3 16 30 33 39 47 50 56 64 67],30,30,13,46,29,29,4,577,97,97,18,1595
[3 16 30 33 39 47 50 56 67],30,30,13,46,30,29,4,579,96,97,18,1593
[3 16 30 33 39 47 50 64],30,30,13,46,35,35,5,587,91,91,17,1585
[3 16 30 33 39 47 50 64 67],30,30,13,46,33,33,4,585,93,93,18,1587
[3 16 30 33 39 47 50 67],30,30,13,46,34,33,4,587,92,93,18,1585
[3 16 30 33 39 47 56],30,30,13,46,38,38,8,592,88,88,14,1580
[3 16 30 33 39 47 56 64],30,30,13,46,32,32,5,583,94,94,17,1589
[3 16 30 33 39 47 56 64 67],30,30,13,46,30,30,4,581,96,96,18,1591
[3 16 30 33 39 47 56 67],30,30,13,46,32,30,4,584,94,96,18,1588
[3 16 30 33 39 47 64],30,30,13,46,36,36,5,591,90,90,17,1581
[3 16 30 33 39 47 64 67],30,30,13,46,34,34,4,589,92,92,18,1583
[3 16 30 33 39 47 67],30,30,13,46,36,34,4,592,90,92,18,1580
[3 16 30 33 39 50],30,30,13,46,40,39,7,599,86,87,15,1573
[3 16 30 33 39 50 56],30,30,13,46,36,35,7,591,90,91,15,1581
[3 16 30 33 39 50 56 64],30,30,13,46,32,31,5,585,94,95,17,1587
[3 16 30 33 39 50 56 64 67],30,30,13,46,30,29,4,583,96,97,18,1589
[3 16 30 33 39 50 56 67],30,30,13,46,31,29,4,585,95,97,18,1587
[3 16 30 33 39 50 64],30,30,13,46,36,35,5,593,90,91,17,1579
[3 16 30 33 39 50 64 67],30,30,13,46,34,33,4,591,92,93,18,1581
[3 16 30 33 39 50 67],30,30,13,46,35,33,4,593,91,93,18,1579
[3 16 30 33 39 56],30,30,13,46,44,44,10,612,82,82,12,1560
[3 16 30 33 39 56 64],30,30,13,46,34,34,5,597,92,92,17,1575
[3 16 30 33 39 56 64 67],30,30,13,46,32,32,4,595,94,94,18,1577
[3 16 30 33 39 56 67],30,30,13,46,36,32,4,600,90,94,18,1572
[3 16 30 33 39 64],30,30,13,46,38,38,5,605,88,88,17,1567
[3 16 30 33 39 64 67],30,30,13,46,36,36,4,603,90,90,18,1569
[3 16 30 33 39 67],30,30,13,46,40,36,4,608,86,90,18,1564
[3 16 30 33 47],30,30,13,46,63,63,8,698,63,63,14,1474
[3 16 30 33 47 50],30,30,13,46,60,60,7,691,66,66,15,1481
[3 16 30 33 47 50 56],30,30,13,46,42,42,7,655,84,84,15,1517
[3 16 30 33 47 50 56 64],30,30,13,46,38,38,5,649,88,88,17,1523
[3 16 30 33 47 50 56 64 67],30,30,13,46,36,36,4,647,90,90,18,1525
[3 16 30 33 47 50 56 67],30,30,13,46,37,36,4,649,89,90,18,1523
[3 16 30 33 47 50 64],30,30,13,46,56,56,5,685,70,70,17,1487
[3 16 30 33 47 50 64 67],30,30,13,46,54,54,4,683,72,72,18,1489
[3 16 30 33 47 50 67],30,30,13,46,55,54,4,685,71,72,18,1487
[3 16 30 33 47 56],30,30,13,46,45,45,8,662,81,81,14,1510
[3 16 30 33 47 56 64],30,30,13,46,39,39,5,653,87,87,17,1519
[3 16 30 33 47 56 64 67],30,30,13,46,37,37,4,651,89,89,18,1521
[3 16 30 33 47 56 67],30,30,13,46,39,37,4,654,87,89,18,1518
[3 16 30 33 47 64],30,30,13,46,57,57,5,689,69,69,17,1483
[3 16 30 33 47 64 67],30,30,13,46,55,55,4,687,71,71,18,1485
[3 16 30 33 47 67],30,30,13,46,57,55,4,690,69,71,18,1482
[3 16 30 33 50],30,30,13,46,61,60,7,697,65,66,15,1475
[3 16 30 33 50 56],30,30,13,46,43,42,7,661,83,84,15,1511
[3 16 30 33 50 56 64],30,30,13,46,39,38,5,655,87,88,17,1517
[3 16 30 33 50 56 64 67],30,30,13,46,37,36,4,653,89,90,18,1519
[3 16 30 33 50 56 67],30,30,13,46,38,36,4,655,88,90,18,1517
[3 16 30 33 50 64],30,30,13,46,57,56,5,691,69,70,17,1481
[3 16 30 33 50 64 67],30,30,13,46,55,54,4,689,71,72,18,1483
[3 16 30 33 50 67],30,30,13,46,56,54,4,691,70,72,18,1481
[3 16 30 33 56],30,30,13,46,51,51,10,682,75,75,12,1490
[3 16 30 33 56 64],30,30,13,46,41,41,5,667,85,85,17,1505
[3 16 30 33 56 64 67],30,30,13,46,39,39,4,665,87,87,18,1507
[3 16 30 33 56 67],30,30,13,46,43,39,4,670,83,87,18,1502
[3 16 30 33 64],30,30,13,46,59,59,5,703,67,67,17,1469
[3 16 30 33 64 67],30,30,13,46,57,57,4,701,69,69,18,1471
[3 16 30 33 67],30,30,13,46,61,57,4,706,65,69,18,1466
[3 16 30 39],30,30,13,46,52,52,11,644,74,74,11,1528
[3 16 30 39 47],30,30,13,46,43,43,8,614,83,83,14,1558
[3 16 30 39 47 50],30,30,13,46,40,40,7,607,86,86,15,1565
[3 16 30 39 47 50 56],30,30,13,46,36,36,7,599,90,90,15,1573
[3 16 30 39 47 50 56 64],30,30,13,46,32,32,5,593,94,94,17,1579
[3 16 30 39 47 50 56 64 67],30,30,13,46,30,30,4,591,96,96,18,1581
[3 16 30 39 47 50 56 67],30,30,13,46,31,30,4,593,95,96,18,1579
[3 16 30 39 47 50 64],30,30,13,46,36,36,5,601,90,90,17,1571
[3 16 30 39 47 50 64 67],30,30,13,46,34,34,4,599,92,92,18,1573
[3 16 30 39 47 50 67],30,30,13,46,35,34,4,601,91,92,18,1571
[3 16 30 39 47 56],30,30,13,46,39,39,8,606,87,87,14,1566
[3 16 30 39 47 56 64],30,30,13,46,33,33,5,597,93,93,17,1575
[3 16 30 39 47 56 64 67],30,30,13,46,31,31,4,595,95,95,18,1577
[3 16 30 39 47 56 67],30,30,13,46,33,31,4,598,93,95,18,1574
[3 16 30 39 47 64],30,30,13,46,37,37,5,605,89,89,17,1567
[3 16 30 39 47 64 67],30,30,13,46,35,35,4,603,91,91,18,1569
[3 16 30 39 47 67],30,30,13,46,37,35,4,606,89,91,18,1566
[3 16 30 39 50],30,30,13,46,42,40,7,616,84,86,15,1556
[3 16 30 39 50 56],30,30,13,46,38,36,7,608,88,90,15,1564
[3 16 30 39 50 56 64],30,30,13,46,34,32,5,602,92,94,17,1570
[3 16 30 39 50 56 64 67],30,30,13,46,32,30,4,600,94,96,18,1572
[3 16 30 39 50 56 67],30,30,13,46,33,30,4,602,93,96,18,1570
[3 16 30 39 50 64],30,30,13,46,38,36,5,610,88,90,17,1562
[3 16 30 39 50 64 67],30,30,13,46,36,34,4,608,90,92,18,1564
[3 16 30 39 50 67],30,30,13,46,37,34,4,610,89,92,18,1562
[3 16 30 39 56],30,30,13,46,48,48,11,636,78,78,11,1536
[3 16 30 39 56 64],30,30,13,46,36,36,5,618,90,90,17,1554
[3 16 30 39 56 64 67],30,30,13,46,34,34,4,616,92,92,18,1556
[3 16 30 39 56 67],30,30,13,46,39,34,4,622,87,92,18,1550
[3 16 30 39 64],30,30,13,46,40,40,5,626,86,86,17,1546
[3 16 30 39 64 67],30,30,13,46,38,38,4,624,88,88,18,1548
[3 16 30 39 67],30,30,13,46,43,38,4,630,83,88,18,1542
[3 16 30 47],30,30,13,46,64,64,8,712,62,62,14,1460
[3 16 30 47 50],30,30,13,46,61,61,7,705,65,65,15,1467
[3 16 30 47 50 56],30,30,13,46,43,43,7,669,83,83,15,1503
[3 16 30 47 50 56 64],30,30,13,46,39,39,5,663,87,87,17,1509
[3 16 30 47 50 56 64 67],30,30,13,46,37,37,4,661,89,89,18,1511
[3 16 30 47 50 56 67],30,30,13,46,38,37,4,663,88,89,18,1509
[3 16 30 47 50 64],30,30,13,46,57,57,5,699,69,69,17,1473
[3 16 30 47 50 64 67],30,30,13,46,55,55,4,697,71,71,18,1475
[3 16 30 47 50 67],30,30,13,46,56,55,4,699,70,71,18,1473
[3 16 30 47 56],30,30,13,46,46,46,8,676,80,80,14,1496
[3 16 30 47 56 64],30,30,13,46,40,40,5,667,86,86,17,1505
[3 16 30 47 56 64 67],30,30,13,46,38,38,4,665,88,88,18,1507
[3 16 30 47 56 67],30,30,13,46,40,38,4,668,86,88,18,1504
[3 16 30 47 64],30,30,13,46,58,58,5,703,68,68,17,1469
[3 16 30 47 64 67],30,30,13,46,56,56,4,701,70,70,18,1471
[3 16 30 47 67],30,30,13,46,58,56,4,704,68,70,18,1468
[3 16 30 50],30,30,13,46,63,61,7,714,63,65,15,1458
[3 16 30 50 56],30,30,13,46,45,43,7,678,81,83,15,1494
[3 16 30 50 56 64],30,30,13,46,41,39,5,672,85,87,17,1500
[3 16 30 50 56 64 67],30,30,13,46,39,37,4,670,87,89,18,1502
[3 16 30 50 56 67],30,30,13,46,40,37,4,672,86,89,18,1500
[3 16 30 50 64],30,30,13,46,59,57,5,708,67,69,17,1464
[3 16 30 50 64 67],30,30,13,46,57,55,4,706,69,71,18,1466
[3 16 30 50 67],30,30,13,46,58,55,4,708,68,71,18,1464
[3 16 30 56],30,30,13,46,55,55,11,706,71,71,11,1466
[3 16 30 56 64],30,30,13,46,43,43,5,688,83,83,17,1484
[3 16 30 56 64 67],30,30,13,46,41,41,4,686,85,85,18,1486
[3 16 30 56 67],30,30,13,46,46,41,4,692,80,85,18,1480
[3 16 30 64],30,30,13,46,61,61,5,724,65,65,17,1448
[3 16 30 64 67],30,30,13,46,59,59,4,722,67,67,18,1450
[3 16 30 67],30,30,13,46,64,59,4,728,62,67,18,1444
[3 16 33],30,30,13,46,70,69,10,738,56,57,12,1434
[3 16 33 39],30,30,13,46,49,48,10,640,77,78,12,1532
[3 16 33 39 47],30,30,13,46,43,42,8,620,83,84,14,1552
[3 16 33 39 47 50],30,30,13,46,40,39,7,613,86,87,15,1559
[3 16 33 39 47 50 56],30,30,13,46,36,35,7,605,90,91,15,1567
[3 16 33 39 47 50 56 64],30,30,13,46,32,31,5,599,94,95,17,1573
[3 16 33 39 47 50 56 64 67],30,30,13,46,30,29,4,597,96,97,18,1575
[3 16 33 39 47 50 56 67],30,30,13,46,31,29,4,599,95,97,18,1573
[3 16 33 39 47 50 64],30,30,13,46,36,35,5,607,90,91,17,1565
[3 16 33 39 47 50 64 67],30,30,13,46,34,33,4,605,92,93,18,1567
[3 16 33 39 47 50 67],30,30,13,46,35,33,4,607,91,93,18,1565
[3 16 33 39 47 56],30,30,13,46,39,38,8,612,87,88,14,1560
